                   i   I
                   m   n     M M R R
           o       m   s     e e e e
           p       | i t     m m g g
           c       v n R l l R W R W
    c      o       a c e d d e r e r                                                                         B
    l inst d R R R l P a I P a i a i                                                                         E brnh
tim k addr e S T D u C d R C d t d t S0~S7    R0       R1       R2       R3       ALUout   data     T0-7     Q addr
-e- - ---- --------e - - - - - e - e -------- -------- -------- -------- -------- -------- -------- -------- - --------
  0 x    0 x-x-x-x-x 0 0 0 0 0 0 0 0 00000001 xxxxxxxx 00000001 00000002 xxxxxxxx xxxxxxxx xxxxxxxx xxxxxxxx x xxxxxxxx
  3 0    0 x-x-x-x-x 0 0 0 0 0 0 0 0 00000001 xxxxxxxx 00000001 00000002 xxxxxxxx xxxxxxxx xxxxxxxx xxxxxxxx x xxxxxxxx
  4 1    0 1-1-2-0-X 0 1 0 0 0 0 0 0 10000000 xxxxxxxx 00000001 00000002 xxxxxxxx xxxxxxxx xxxxxxxx 01000000 x xxxxxxxx
  5 0    0 1-1-2-0-X 0 1 0 0 0 0 0 0 10000000 xxxxxxxx 00000001 00000002 xxxxxxxx xxxxxxxx xxxxxxxx 01000000 x xxxxxxxx
  6 1    0 1-1-2-0-X 0 0 1 0 0 0 0 0 01000000 xxxxxxxx 00000001 00000002 xxxxxxxx xxxxxxxx xxxxxxxx 01000000 x xxxxxxxx
  7 0    0 1-1-2-0-X 0 0 1 0 0 0 0 0 01000000 xxxxxxxx 00000001 00000002 xxxxxxxx xxxxxxxx xxxxxxxx 01000000 x xxxxxxxx
  8 1    0 1-1-2-0-X 0 0 0 0 0 0 1 0 00100000 xxxxxxxx 00000001 00000002 xxxxxxxx 00000003 xxxxxxxx 01000000 0 xxxxxxxx
  9 0    0 1-1-2-0-X 0 0 0 0 0 0 1 0 00100000 xxxxxxxx 00000001 00000002 xxxxxxxx 00000003 xxxxxxxx 01000000 0 xxxxxxxx
 10 1    0 1-1-2-0-X 0 0 0 0 0 0 0 0 00010000 xxxxxxxx 00000001 00000002 xxxxxxxx 00000003 xxxxxxxx 01000000 0 xxxxxxxx
 11 0    0 1-1-2-0-X 0 0 0 0 0 0 0 0 00010000 xxxxxxxx 00000001 00000002 xxxxxxxx 00000003 xxxxxxxx 01000000 0 xxxxxxxx
 12 1    0 1-1-2-0-X 0 0 0 0 0 0 0 0 00001000 xxxxxxxx 00000001 00000002 xxxxxxxx 00000003 xxxxxxxx 01000000 0 xxxxxxxx
 13 0    0 1-1-2-0-X 0 0 0 0 0 0 0 0 00001000 xxxxxxxx 00000001 00000002 xxxxxxxx 00000003 xxxxxxxx 01000000 0 xxxxxxxx
 14 1    1 1-1-2-0-X 1 0 0 0 0 0 0 1 00000100 00000003 00000001 00000002 xxxxxxxx 00000003 xxxxxxxx 01000000 0 xxxxxxxx
 15 0    1 1-1-2-0-X 1 0 0 0 0 0 0 1 00000100 00000003 00000001 00000002 xxxxxxxx 00000003 xxxxxxxx 01000000 0 xxxxxxxx
 16 1    1 1-1-2-0-X 0 0 0 0 0 0 0 0 00000010 00000003 00000001 00000002 xxxxxxxx 00000003 xxxxxxxx 01000000 0 xxxxxxxx
 17 0    1 1-1-2-0-X 0 0 0 0 0 0 0 0 00000010 00000003 00000001 00000002 xxxxxxxx 00000003 xxxxxxxx 01000000 0 xxxxxxxx
 18 1    1 1-1-2-0-X 0 0 0 0 0 0 0 0 00000001 00000003 00000001 00000002 xxxxxxxx 00000003 xxxxxxxx 01000000 0 xxxxxxxx
 19 0    1 1-1-2-0-X 0 0 0 0 0 0 0 0 00000001 00000003 00000001 00000002 xxxxxxxx 00000003 xxxxxxxx 01000000 0 xxxxxxxx
 20 1    1 2-0-1-3-X 0 1 0 0 0 0 0 0 10000000 00000003 00000001 00000002 xxxxxxxx ffffffff xxxxxxxx 00100000 0 xxxxxxxx
 21 0    1 2-0-1-3-X 0 1 0 0 0 0 0 0 10000000 00000003 00000001 00000002 xxxxxxxx ffffffff xxxxxxxx 00100000 0 xxxxxxxx
 22 1    1 2-0-1-3-X 0 0 1 0 0 0 0 0 01000000 00000003 00000001 00000002 xxxxxxxx ffffffff xxxxxxxx 00100000 0 xxxxxxxx
 23 0    1 2-0-1-3-X 0 0 1 0 0 0 0 0 01000000 00000003 00000001 00000002 xxxxxxxx ffffffff xxxxxxxx 00100000 0 xxxxxxxx
 24 1    1 2-0-1-3-X 0 0 0 0 0 0 1 0 00100000 00000003 00000001 00000002 xxxxxxxx 00000002 xxxxxxxx 00100000 0 xxxxxxxx
 25 0    1 2-0-1-3-X 0 0 0 0 0 0 1 0 00100000 00000003 00000001 00000002 xxxxxxxx 00000002 xxxxxxxx 00100000 0 xxxxxxxx
 26 1    1 2-0-1-3-X 0 0 0 0 0 0 0 0 00010000 00000003 00000001 00000002 xxxxxxxx 00000002 xxxxxxxx 00100000 0 xxxxxxxx
 27 0    1 2-0-1-3-X 0 0 0 0 0 0 0 0 00010000 00000003 00000001 00000002 xxxxxxxx 00000002 xxxxxxxx 00100000 0 xxxxxxxx
 28 1    1 2-0-1-3-X 0 0 0 0 0 0 0 0 00001000 00000003 00000001 00000002 xxxxxxxx 00000002 xxxxxxxx 00100000 0 xxxxxxxx
 29 0    1 2-0-1-3-X 0 0 0 0 0 0 0 0 00001000 00000003 00000001 00000002 xxxxxxxx 00000002 xxxxxxxx 00100000 0 xxxxxxxx
 30 1    2 2-0-1-3-X 1 0 0 0 0 0 0 1 00000100 00000003 00000001 00000002 00000002 00000002 xxxxxxxx 00100000 0 xxxxxxxx
 31 0    2 2-0-1-3-X 1 0 0 0 0 0 0 1 00000100 00000003 00000001 00000002 00000002 00000002 xxxxxxxx 00100000 0 xxxxxxxx
 32 1    2 2-0-1-3-X 0 0 0 0 0 0 0 0 00000010 00000003 00000001 00000002 00000002 00000002 xxxxxxxx 00100000 0 xxxxxxxx
